,Tipo,Calendario,Clasificacion,Anio_prueba,Nombre_Colegio,Municipio,Departamento
4598,NO OFICIAL,A,C,2018,INST TEC CIAL COLOMBO LIBANES,CALI,VALLE DEL CAUCA
4599,OFICIAL,A,B,2018,INSTITUCION EDUCATIVA DISTRITAL SAGRADO CORAZON DE JESUS,BARRANQUILLA,ATLÁNTICO
4600,NO OFICIAL,A,A+,2018,INST MUSICAL DIEGO ECHAVARRIA,MEDELLÍN,ANTIOQUIA
4601,NO OFICIAL,A,A+,2018,COL CLAUSTRO MODERNO                                                                                ,"BOGOTÁ, D.C.","BOGOTÁ, D.C."
4602,NO OFICIAL,A,C,2018,I.E. EL NIQUIA DARÍO LONDOÑO CARDONA,BELLO,ANTIOQUIA
4603,NO OFICIAL,A,A,2018,COL CARMELITANO,BELLO,ANTIOQUIA
4604,NO OFICIAL,A,A,2018,COL MADRE PAULA MONTAL                                                                              ,"BOGOTÁ, D.C.","BOGOTÁ, D.C."
4605,NO OFICIAL,A,A+,2018,COLEGIO WALDORF ISOLDA ECHAVARRIA,LA ESTRELLA,ANTIOQUIA
4606,NO OFICIAL,A,C,2018,COL ESPIRITU SANTO,SANTA MARTA,MAGDALENA
4607,NO OFICIAL,A,A+,2018,COLEGIO CRISTIANO FILADELFIA,TUNJA,BOYACÁ
4608,NO OFICIAL,A,A,2018,LICEO SAN MATEO,SOACHA,CUNDINAMARCA
4609,NO OFICIAL,A,B,2018,INSTITUCION EDUCATIVA SANTA VERONICA,SOACHA,CUNDINAMARCA
4610,NO OFICIAL,A,A,2018,COL JHON DEWEY,CALARCÁ,QUINDÍO
4611,OFICIAL,A,B,2018,INSTITUCION EDUCATIVA DISTRITAL LAS FLORES,BARRANQUILLA,ATLÁNTICO
4612,NO OFICIAL,A,A+,2018,LIC PARROQ SAN GREGORIO MAGNO,"BOGOTÁ, D.C.","BOGOTÁ, D.C."
4613,NO OFICIAL,A,A+,2018,COLEGIO NEIL ARMSTRONG,VILLAVICENCIO,META
4614,NO OFICIAL,A,A,2018,COL MILIT GENERAL FRANCISCO DE PAULA SANTANDER,SAN JOSÉ DE CÚCUTA,NORTE DE SANTANDER
4615,NO OFICIAL,A,A,2018,COL MONSERRATE                                                                                      ,"BOGOTÁ, D.C.","BOGOTÁ, D.C."
4616,NO OFICIAL,A,A+,2018,COL WESLEYANO DEL NORTE                                                                             ,"BOGOTÁ, D.C.","BOGOTÁ, D.C."
4617,NO OFICIAL,A,A,2018,COL AMERICANO,LÉRIDA,TOLIMA
4618,NO OFICIAL,A,C,2018,LICEO SUPERIOR DEL VALLE,CALI,VALLE DEL CAUCA
4619,NO OFICIAL,A,B,2018,COLEGIO JOSE IGNACIO ZABALA,PIEDECUESTA,SANTANDER
4620,NO OFICIAL,A,A+,2018,COLEGIO SALESIANO MALDONADO,TUNJA,BOYACÁ
4621,NO OFICIAL,A,A,2018,COL COOP COOSERVICIOS,TUNJA,BOYACÁ
4622,NO OFICIAL,A,A+,2018,INST LA ANUNCIACION                                                                                 ,"BOGOTÁ, D.C.","BOGOTÁ, D.C."
4623,NO OFICIAL,A,B,2018,COL RAFAEL MARIA CARRASQUILLA,"BOGOTÁ, D.C.","BOGOTÁ, D.C."
4624,NO OFICIAL,A,A+,2018,COLEGIO CAMPESTRE HISPANO INGLES,YOPAL,CASANARE
4625,NO OFICIAL,A,B,2018,LIC JUAN MIGUEL                                                                                     ,"BOGOTÁ, D.C.","BOGOTÁ, D.C."
4626,NO OFICIAL,A,A+,2018,COL DIOCESANO JUAN PABLO II,MONTERÍA,CÓRDOBA
4627,NO OFICIAL,A,A+,2018,COLEGIO EL ENCANTO,LORICA,CÓRDOBA
4628,NO OFICIAL,A,A,2018,ESCUELA NORMAL SANTA TERESITA,LORICA,CÓRDOBA
4629,NO OFICIAL,A,B,2018,COL MAYOR DEL CARIBE,SANTA MARTA,MAGDALENA
4630,NO OFICIAL,A,C,2018,CENTRO PEDAGOGICO LA INMACULADA,MALAMBO,ATLÁNTICO
4631,OFICIAL,A,A,2018,IE NAVAL LEGUIZAMO,PUERTO LEGUÍZAMO,PUTUMAYO
4632,NO OFICIAL,A,B,2018,COL PARROQUIAL MARIA INMACULADA,PRADERA,VALLE DEL CAUCA
4633,OFICIAL,A,B,2018,INSTITUCION EDUCATIVA SAN VICENTE DE PAUL,ENVIGADO,ANTIOQUIA
4634,NO OFICIAL,A,A+,2018,COLEGIO COOPERATIVO JUAN DEL CORRAL,COPACABANA,ANTIOQUIA
4635,NO OFICIAL,A,B,2018,CENT EDUCATIVO DEL NORTE LA MERCED,POPAYÁN,CAUCA
4636,NO OFICIAL,A,A+,2018,COL DE MARIA AUXILIADORA                                                                            ,"BOGOTÁ, D.C.","BOGOTÁ, D.C."
4637,NO OFICIAL,A,A+,2018,LIC FORMACION EDUC PERSONALIZADA                                                                    ,"BOGOTÁ, D.C.","BOGOTÁ, D.C."
4638,NO OFICIAL,A,A+,2018,LIC ALFREDO NOBEL                                                                                   ,"BOGOTÁ, D.C.","BOGOTÁ, D.C."
4639,OFICIAL,A,B,2018,COLEGIO CODEMA (IED),"BOGOTÁ, D.C.","BOGOTÁ, D.C."
4640,NO OFICIAL,A,A+,2018,COL. DE LA ESPERANZA,CARTAGENA DE INDIAS,BOLÍVAR
4641,NO OFICIAL,A,A+,2018,COL SAN LUIS DE LA POLICIA NAL,"BOGOTÁ, D.C.","BOGOTÁ, D.C."
4642,NO OFICIAL,A,A+,2018,COL NUESTRA MADRE DE LAS MERCEDES,MEDELLÍN,ANTIOQUIA
4643,NO OFICIAL,A,A,2018,I.E. SAGRADO CORAZON DE JESUS,CHAPARRAL,TOLIMA
4644,NO OFICIAL,A,D,2018,I.E. SAGRADO CORAZON DE JESUS,CHAPARRAL,TOLIMA
4645,NO OFICIAL,A,A,2018,COL MILIT SIMON BOLIVAR                                                                             ,"BOGOTÁ, D.C.","BOGOTÁ, D.C."
4646,NO OFICIAL,A,A+,2018,COLEGIO SANTO DOMINGO BILINGÜE,"BOGOTÁ, D.C.","BOGOTÁ, D.C."
4647,NO OFICIAL,A,C,2018,PATRICIO SYMES,BUENAVENTURA,VALLE DEL CAUCA
4648,OFICIAL,A,D,2018,INSTITUCION EDUCATIVA FOCO ROJO,CARTAGENA DE INDIAS,BOLÍVAR
4649,NO OFICIAL,A,A,2018,INSTITUTO SAN ANTONIO DE PADUA,"BOGOTÁ, D.C.","BOGOTÁ, D.C."
4650,NO OFICIAL,A,A+,2018,CENTRO DE DESARROLLO HUMANO  CEDHU,SOGAMOSO,BOYACÁ
4651,NO OFICIAL,A,C,2018,CENT EDUC INTEGRAL CEDI,MAGANGUÉ,BOLÍVAR
4652,NO OFICIAL,A,A,2018,INSTITUCION EDUCATIVA ESCUELA NORMAL SUPERIOR SANTA TERESITA,SABANALARGA,ATLÁNTICO
4653,NO OFICIAL,A,A+,2018,COLEGIO COLOMBO INGLES DEL HUILA Y CIA LTDA,NEIVA,HUILA
4654,NO OFICIAL,A,D,2018,INSTITUTO  SKINNER II   (ANT.-JARD. INF. SKINNER II),CARTAGENA DE INDIAS,BOLÍVAR
4655,NO OFICIAL,A,B,2018,INST VICARIAL JESUS MAESTRO,MEDELLÍN,ANTIOQUIA
4656,NO OFICIAL,A,A+,2018,COL CRISTIANO SEMILLA DE VIDA,"BOGOTÁ, D.C.","BOGOTÁ, D.C."
4657,NO OFICIAL,A,B,2018,COL ADVENTISTA SIMON BOLIVAR,MEDELLÍN,ANTIOQUIA
4658,NO OFICIAL,A,D,2018,INSTITUTO EUTIQUIO LEAL,CHAPARRAL,TOLIMA
4659,NO OFICIAL,A,A,2018,COLEGIO SAN FELIPE NERI,IPIALES,NARIÑO
4660,NO OFICIAL,A,A,2018,LICEO MODERNO ISAAC NEWTON,MADRID,CUNDINAMARCA
4661,NO OFICIAL,A,A+,2018,GIMN. BILINGÜE ALTAMAR,CARTAGENA DE INDIAS,BOLÍVAR
4662,NO OFICIAL,A,B,2018,UNID EDUC BAHIA SOLANO                                                                              ,"BOGOTÁ, D.C.","BOGOTÁ, D.C."
4663,OFICIAL,A,B,2018,COLEGIO PAULO FREIRE (IED) (LOTE CIUDADELA NUEVO MILENIO),"BOGOTÁ, D.C.","BOGOTÁ, D.C."
4664,NO OFICIAL,A,C,2018,COLEGIO SANTA CECILIA,BARRANQUILLA,ATLÁNTICO
4665,NO OFICIAL,A,A+,2018,COLEGIO SALESIANO SAN MEDARDO,NEIVA,HUILA
4666,NO OFICIAL,A,A+,2018,COL SAGRADOS CORAZONES,MEDELLÍN,ANTIOQUIA
4667,NO OFICIAL,A,A,2018,INST ADVENTISTA DE CUCUTA,SAN JOSÉ DE CÚCUTA,NORTE DE SANTANDER
4668,OFICIAL,A,D,2018,IED BALDOMERO SANIN CANO,REMOLINO,MAGDALENA
4669,NO OFICIAL,A,D,2018,COLEGIO CAMILO TORRES PARA JOVENES Y ADULTOS,SAN GIL,SANTANDER
